year,day_type,usertype,duration_bin,count,period,bin_start
2023,Weekday,Subscriber,2-4,147751,Post-Pandemic (2023),2
2023,Weekday,Subscriber,4-6,277272,Post-Pandemic (2023),4
2023,Weekday,Subscriber,6-8,294929,Post-Pandemic (2023),6
2023,Weekday,Subscriber,8-10,258679,Post-Pandemic (2023),8
2023,Weekday,Subscriber,10-12,218984,Post-Pandemic (2023),10
2023,Weekday,Subscriber,12-14,182657,Post-Pandemic (2023),12
2023,Weekday,Subscriber,14-16,145731,Post-Pandemic (2023),14
2023,Weekday,Subscriber,16-18,116295,Post-Pandemic (2023),16
2023,Weekday,Subscriber,18-20,91816,Post-Pandemic (2023),18
2023,Weekday,Subscriber,20-22,72425,Post-Pandemic (2023),20
2023,Weekday,Subscriber,22-24,57188,Post-Pandemic (2023),22
2023,Weekday,Subscriber,24-26,45499,Post-Pandemic (2023),24
2023,Weekday,Subscriber,26-28,36580,Post-Pandemic (2023),26
2023,Weekday,Subscriber,28-30,29062,Post-Pandemic (2023),28
2023,Weekday,Subscriber,30-32,23041,Post-Pandemic (2023),30
2023,Weekday,Subscriber,32-34,18074,Post-Pandemic (2023),32
2023,Weekday,Subscriber,34-36,14508,Post-Pandemic (2023),34
2023,Weekday,Subscriber,36-38,11367,Post-Pandemic (2023),36
2023,Weekday,Subscriber,38-40,9220,Post-Pandemic (2023),38
2023,Weekday,Subscriber,40-42,7503,Post-Pandemic (2023),40
2023,Weekday,Subscriber,42-44,5826,Post-Pandemic (2023),42
2023,Weekday,Subscriber,44-46,4024,Post-Pandemic (2023),44
2023,Weekday,Subscriber,46-48,2657,Post-Pandemic (2023),46
2023,Weekday,Subscriber,48-50,1925,Post-Pandemic (2023),48
2023,Weekday,Subscriber,50-52,1581,Post-Pandemic (2023),50
2023,Weekday,Subscriber,52-54,1343,Post-Pandemic (2023),52
2023,Weekday,Subscriber,54-56,1183,Post-Pandemic (2023),54
2023,Weekday,Subscriber,56-58,972,Post-Pandemic (2023),56
2023,Weekday,Subscriber,58-60,821,Post-Pandemic (2023),58
2023,Weekend,Customer,0-2,1058,Post-Pandemic (2023),0
2023,Weekend,Customer,2-4,4085,Post-Pandemic (2023),2
